System,Dataset,Model,Avg_MAPE,Avg_MAE,Avg_RMSE
dconvert,png-medium.csv,DecisionTree,0.02939453296061467,0.01866903510213022,0.023817855634362672
dconvert,png-medium.csv,SVM,0.061498542992438066,0.038980815162146576,0.04766281750458356
dconvert,png-small.csv,LinearRegression,0.03319694644320482,0.014904939747158725,0.019591867484755453
dconvert,png-small.csv,RandomForest,0.03534230523496405,0.015807927643375592,0.020774216258877994
dconvert,png-small.csv,DecisionTree,0.037847847918011934,0.016932463407574302,0.02254260845288523
dconvert,png-small.csv,SVM,0.08239459901326525,0.03535438821060891,0.041327037735361984
dconvert,psd-large.csv,LinearRegression,0.014027523785303322,0.5265852646175534,0.850600751149814
dconvert,psd-large.csv,RandomForest,0.015540941597290796,0.5841214464887596,0.9895755981739192
dconvert,psd-large.csv,DecisionTree,0.016256979360324986,0.6114668575496571,1.084972453055881
dconvert,psd-large.csv,SVM,0.3846349663324493,10.765461652538603,12.976587886856544
dconvert,psd-medium.csv,LinearRegression,0.051778765846912794,0.06746856216879969,0.09053300561345251
dconvert,psd-medium.csv,RandomForest,0.02551158519151273,0.032764313539844686,0.04177784229043241
dconvert,psd-medium.csv,DecisionTree,0.027181104991850332,0.03501235458862368,0.04524963287985279
dconvert,psd-medium.csv,SVM,0.04488915203301833,0.05978564327151173,0.0915717616917029
dconvert,psd-small.csv,LinearRegression,0.03552887206688594,0.019863653812137224,0.024700011092457782
dconvert,psd-small.csv,RandomForest,0.037605053015817735,0.02098231450852973,0.026723092114162447
dconvert,psd-small.csv,DecisionTree,0.040401774681411186,0.022535661479969018,0.028992626262677495
dconvert,psd-small.csv,SVM,0.05964221048642193,0.03260040409243239,0.03897708725768021
dconvert,svg-large.csv,LinearRegression,0.020120047621063803,0.030332343550704962,0.03905528093575811
dconvert,svg-large.csv,RandomForest,0.02345800903904073,0.035308481481767844,0.045170877840360835
dconvert,svg-large.csv,DecisionTree,0.025293038555731336,0.03805311084512664,0.04914167833761455
dconvert,svg-large.csv,SVM,0.029356646559330013,0.04358313981206217,0.049477120538066986
dconvert,svg-medium.csv,LinearRegression,0.01703201669865542,0.026204628211350268,0.03281173143572152
dconvert,svg-medium.csv,RandomForest,0.01928109058048685,0.029660131127184634,0.037268309038930685
dconvert,svg-medium.csv,DecisionTree,0.020743822253612067,0.03190878100870711,0.04028905317565182
dconvert,svg-medium.csv,SVM,0.021442453022908713,0.032703060555669745,0.0401562406556517
dconvert,svg-small.csv,LinearRegression,0.035812993544910826,0.020129781728725392,0.025121280124790923
dconvert,svg-small.csv,RandomForest,0.025621572922433555,0.01431471546570938,0.018073032528017858
